车辆ID,发车时间,发车位置,方向,期望速度,车辆类型名称,路径
5974,0.8,1127.173_0.688456_1100.371,Left,22.61726,0_4,61_51
5975,0.8,759.5629_0.8433979_1018.089,Right,29.0286,0_2,66_61
5976,0.9599999,892.6105_0.9621004_1175.439,Left,9.995366,2_0,51_61
5977,1.28,948.4979_0.730626_909.7896,Left,8.046616,0_3,65_61
5978,1.28,883.7171_0.8429536_1174.058,Left,19.39739,0_1,51_65
5979,2.4,877.7881_0.688456_1173.138,Left,27.65273,0_4,51_66
5980,3.52,889.6461_0.9621004_1174.979,Left,20.26618,2_0,51_65
5981,4,877.7881_0.730626_1173.138,Left,32.679,0_3,51_66
5982,4.96,758.6046_0.9621004_1024.012,Right,8.115515,2_0,66_51
5983,5.759999,1127.173_1.710887_1100.371,Left,21.65545,1_1,61_51
5984,7.839997,1128.593_0.9621004_1091.483,Left,25.72403,2_0,61_66
5985,9.759995,892.6105_0.8429536_1175.439,Left,16.92368,0_1,51_61
5986,11.35999,877.7881_0.8429536_1173.138,Left,21.0535,0_1,51_66
5987,12.79999,1129.067_0.8429536_1088.521,Left,19.31396,0_1,61_66
5988,14.39999,933.6493_0.688456_907.6638,Left,10.73984,0_4,65_66
5989,17.59999,933.6493_0.9621004_907.6638,Left,8.83438,2_0,65_66
5990,19.03999,948.4979_0.730626_909.7896,Left,11.7332,0_3,65_61
5991,19.67999,1129.067_0.8651666_1088.521,Left,21.23037,0_0,61_66
5992,19.99999,936.619_0.8429536_908.089,Left,24.9068,0_1,65_51
5993,20.79999,939.5887_1.362484_908.5142,Left,17.86441,1_2,65_51
5994,21.11999,1127.173_0.688456_1100.371,Left,17.47554,0_4,61_51
5995,21.91998,948.4979_0.8433979_909.7896,Left,22.22014,0_2,65_61
5996,24.63998,760.5212_0.730626_1012.166,Right,13.74011,0_3,66_65
5997,25.43998,933.6493_0.9621004_907.6638,Left,25.79485,2_0,65_66
5998,26.07998,1127.646_0.8429536_1097.408,Left,6.430752,0_1,61_66
5999,27.51998,948.4979_0.8651666_909.7896,Left,8.542228,0_0,65_61
6000,28.95998,892.6105_0.9621004_1175.439,Left,9.287401,2_0,51_61
6001,29.43998,877.7881_0.730626_1173.138,Left,22.72517,0_3,51_66
6002,30.39998,1127.173_0.9621004_1100.371,Left,25.87238,2_0,61_51
6003,32.47998,877.7881_0.9621004_1173.138,Left,13.58013,2_0,51_66
6004,33.43998,757.6463_0.730626_1029.935,Right,25.19728,0_3,66_51
6005,34.55997,933.6493_0.730626_907.6638,Left,16.03161,0_3,65_66
6006,35.99997,948.4979_0.688456_909.7896,Left,6.869967,0_4,65_61
6007,36.63997,760.5212_0.688456_1012.166,Right,17.31903,0_4,66_65
6008,36.63997,760.5212_1.710887_1012.166,Right,16.50612,1_1,66_65
6009,36.95997,757.6463_1.362484_1029.935,Right,26.85452,1_2,66_51
6010,37.27997,933.6493_0.688456_907.6638,Left,28.90682,0_4,65_66
6011,37.75997,1127.646_0.8651666_1097.408,Left,7.07996,0_0,61_66
6012,39.19997,939.5887_0.9621004_908.5142,Left,7.437447,2_0,65_51
6013,40.31997,880.7526_0.8429536_1173.598,Left,17.18243,0_1,51_65
