车辆ID,发车时间,发车位置,方向,期望速度,车辆类型名称,路径
13635,0.16,877.7881_0.688456_1173.138,Left,32.93188,0_4,51_66
13636,0.32,1129.54_0.730626_1085.559,Left,13.34554,0_3,61_65
13637,1.12,758.6046_0.730626_1024.012,Right,6.24362,0_3,66_51
13638,2.24,758.6046_1.710887_1024.012,Right,20.54173,1_1,66_51
13639,2.88,760.5212_0.688456_1012.166,Right,11.69417,0_4,66_65
13640,4.16,948.4979_0.9621004_909.7896,Left,11.57248,2_0,65_61
13641,4.64,760.042_0.8433979_1015.128,Right,8.008095,0_2,66_61
13642,4.64,886.6816_0.730626_1174.519,Left,26.88097,0_3,51_65
13643,6.079998,933.6493_0.688456_907.6638,Left,14.14504,0_4,65_66
13644,8.639997,892.6105_0.8651666_1175.439,Left,19.44698,0_0,51_61
13645,8.639997,877.7881_0.8651666_1173.138,Left,22.05186,0_0,51_66
13646,9.439996,948.4979_0.8651666_909.7896,Left,5.76332,0_0,65_61
13647,10.24,877.7881_0.9621004_1173.138,Left,8.139369,2_0,51_66
13648,10.55999,758.1254_0.9621004_1026.974,Right,23.08161,2_0,66_51
13649,10.71999,936.619_0.8651666_908.089,Left,13.99049,0_0,65_51
13650,12.31999,760.5212_0.730626_1012.166,Right,19.82765,0_3,66_65
13651,13.27999,1130.014_0.688456_1082.596,Left,23.13846,0_4,61_65
13652,13.59999,892.6105_0.730626_1175.439,Left,30.4396,0_3,51_61
13653,15.03999,948.4979_0.9621004_909.7896,Left,11.21133,2_0,65_61
13654,17.11999,1129.54_0.8433979_1085.559,Left,29.15554,0_2,61_65
13655,17.11999,936.619_0.730626_908.089,Left,23.16503,0_3,65_51
13656,19.67999,760.5212_0.730626_1012.166,Right,25.96398,0_3,66_65
13657,20.15999,877.7881_0.688456_1173.138,Left,7.685135,0_4,51_66
13658,21.11999,933.6493_0.9621004_907.6638,Left,15.28549,2_0,65_66
13659,21.27999,936.619_0.9621004_908.089,Left,19.74698,2_0,65_51
13660,23.19998,886.6816_0.8429536_1174.519,Left,13.35368,0_1,51_65
13661,24.31998,933.6493_0.688456_907.6638,Left,6.771964,0_4,65_66
13662,28.63998,1129.067_0.730626_1088.521,Left,12.43083,0_3,61_66
13663,28.79998,760.042_0.9621004_1015.128,Right,23.65556,2_0,66_61
13664,28.95998,759.5629_0.9621004_1018.089,Right,9.234811,2_0,66_61
13665,29.11998,936.619_0.730626_908.089,Left,31.71812,0_3,65_51
13666,29.75998,1130.014_0.8433979_1082.596,Left,24.29928,0_2,61_65
13667,30.87998,758.6046_0.688456_1024.012,Right,15.81101,0_4,66_51
13668,31.35998,759.0837_0.730626_1021.051,Right,23.09748,0_3,66_61
13669,32.15998,1130.014_0.9621004_1082.596,Left,8.433807,2_0,61_65
13670,32.15998,757.6463_0.9621004_1029.935,Right,16.16669,2_0,66_51
13671,32.31998,936.619_0.8433979_908.089,Left,18.49788,0_2,65_51
13672,33.75998,945.5281_0.730626_909.3644,Left,20.67131,0_3,65_51
13673,35.19997,759.5629_0.9621004_1018.089,Right,6.855018,2_0,66_61
13674,35.19997,760.042_0.8651666_1015.128,Right,24.6489,0_0,66_61
13675,36.15997,886.6816_0.730626_1174.519,Left,25.55445,0_3,51_65
13676,37.11997,1128.12_0.8433979_1094.446,Left,31.42961,0_2,61_66
13677,38.39997,948.4979_0.8433979_909.7896,Left,31.24155,0_2,65_61
13678,38.87997,936.619_0.8651666_908.089,Left,13.77176,0_0,65_51
13679,39.03997,933.6493_0.730626_907.6638,Left,33.04922,0_3,65_66
13680,39.19997,1128.12_0.9621004_1094.446,Left,26.47265,2_0,61_66
13681,40.15997,948.4979_0.688456_909.7896,Left,26.95305,0_4,65_61
13682,42.39997,757.6463_0.730626_1029.935,Right,21.70411,0_3,66_51
13683,42.87997,942.5584_1.362484_908.9393,Left,24.19488,1_2,65_51
