车辆ID,发车时间,发车位置,方向,期望速度,车辆类型名称,路径
11737,0.48,1130.014_0.9621004_1082.596,Left,11.6802,2_0,61_65
11738,2.24,1128.12_0.688456_1094.446,Left,22.05839,0_4,61_66
11739,3.680001,886.6816_0.8429536_1174.519,Left,12.45003,0_1,51_65
11740,4.8,892.6105_0.8433979_1175.439,Left,28.81123,0_2,51_61
11741,4.96,1129.54_0.8433979_1085.559,Left,29.22413,0_2,61_65
11742,7.679997,758.6046_0.8433979_1024.012,Right,25.29951,0_2,66_51
11743,9.919995,1127.646_0.688456_1097.408,Left,33.22123,0_4,61_66
11744,10.24,759.0837_1.710887_1021.051,Right,14.94934,1_1,66_61
11745,10.87999,877.7881_0.9621004_1173.138,Left,6.733502,2_0,51_66
11746,11.67999,760.042_0.8651666_1015.128,Right,8.697086,0_0,66_61
11747,12.63999,942.5584_0.8429536_908.9393,Left,24.15473,0_1,65_51
11748,13.27999,948.4979_0.8429536_909.7896,Left,30.06223,0_1,65_61
11749,14.39999,942.5584_0.8433979_908.9393,Left,15.79544,0_2,65_51
11750,14.87999,933.6493_0.9621004_907.6638,Left,13.10127,2_0,65_66
11751,15.35999,1128.12_0.9621004_1094.446,Left,19.28825,2_0,61_66
11752,15.99999,892.6105_0.688456_1175.439,Left,7.181309,0_4,51_61
11753,16.95999,1127.646_0.9621004_1097.408,Left,23.23939,2_0,61_66
11754,18.71999,883.7171_1.710887_1174.058,Left,16.37897,1_1,51_65
11755,20.47999,757.6463_0.8429536_1029.935,Right,19.3555,0_1,66_51
11756,20.79999,933.6493_0.8651666_907.6638,Left,10.31575,0_0,65_66
11757,21.11999,760.042_0.8433979_1015.128,Right,32.16178,0_2,66_61
11758,23.19998,877.7881_0.9621004_1173.138,Left,15.36584,2_0,51_66
11759,23.67998,1129.54_1.710887_1085.559,Left,21.50751,1_1,61_65
11760,23.67998,760.5212_0.8651666_1012.166,Right,12.37277,0_0,66_65
11761,23.83998,886.6816_0.8429536_1174.519,Left,31.56112,0_1,51_65
11762,23.99998,757.6463_0.8433979_1029.935,Right,21.99987,0_2,66_51
11763,25.43998,886.6816_0.8429536_1174.519,Left,11.69585,0_1,51_65
11764,25.75998,880.7526_0.8433979_1173.598,Left,32.27688,0_2,51_65
11765,26.39998,892.6105_0.9621004_1175.439,Left,24.75066,2_0,51_61
11766,28.15998,948.4979_0.8433979_909.7896,Left,23.16826,0_2,65_61
11767,28.31998,1127.646_0.8433979_1097.408,Left,27.83895,0_2,61_66
11768,28.63998,1130.014_0.9621004_1082.596,Left,6.90497,2_0,61_65
11769,28.63998,877.7881_0.730626_1173.138,Left,8.40445,0_3,51_66
11770,28.79998,760.5212_0.688456_1012.166,Right,21.03425,0_4,66_65
11771,29.11998,757.6463_0.730626_1029.935,Right,15.62756,0_3,66_51
11772,32.47998,1128.593_0.9621004_1091.483,Left,5.873504,2_0,61_66
11773,32.95998,1129.54_0.8651666_1085.559,Left,24.1206,0_0,61_65
11774,33.11998,942.5584_0.688456_908.9393,Left,9.178874,0_4,65_51
11775,33.59998,759.0837_0.8429536_1021.051,Right,21.06132,0_1,66_61
11776,34.39997,936.619_0.688456_908.089,Left,8.358885,0_4,65_51
11777,34.87997,757.6463_0.8429536_1029.935,Right,25.71044,0_1,66_51
11778,35.67997,939.5887_0.730626_908.5142,Left,5.718908,0_3,65_51
11779,37.27997,757.6463_0.8433979_1029.935,Right,8.428917,0_2,66_51
11780,37.75997,1128.12_0.8651666_1094.446,Left,13.68691,0_0,61_66
11781,39.51997,1129.54_0.730626_1085.559,Left,27.54916,0_3,61_65
11782,39.51997,877.7881_0.8429536_1173.138,Left,30.98821,0_1,51_66
11783,41.11997,933.6493_0.8433979_907.6638,Left,24.09946,0_2,65_66
11784,41.27997,1127.173_0.8651666_1100.371,Left,19.81617,0_0,61_51
11785,43.99997,1129.067_0.9621004_1088.521,Left,5.914625,2_0,61_66
11786,44.63997,948.4979_0.8651666_909.7896,Left,12.9711,0_0,65_61
