车辆ID,发车时间,发车位置,方向,期望速度,车辆类型名称,路径
2185,0.32,1130.014_0.9621004_1082.596,Left,17.24747,2_0,61_65
2186,1.6,883.7171_0.9621004_1174.058,Left,7.746112,2_0,51_65
2187,1.76,760.042_1.362484_1015.128,Right,9.181737,1_2,66_61
2188,2.24,933.6493_0.688456_907.6638,Left,24.72915,0_4,65_66
2189,2.72,1129.54_0.730626_1085.559,Left,6.782678,0_3,61_65
2190,3.04,760.5212_0.8429536_1012.166,Right,30.13312,0_1,66_65
2191,4,1127.173_0.9621004_1100.371,Left,12.97023,2_0,61_51
2192,4.16,948.4979_0.688456_909.7896,Left,23.30934,0_4,65_61
2193,4.32,758.1254_0.730626_1026.974,Right,12.06803,0_3,66_51
2194,4.8,1128.12_0.9621004_1094.446,Left,25.16855,2_0,61_66
2195,6.079998,933.6493_0.9621004_907.6638,Left,10.26892,2_0,65_66
2196,6.559998,760.5212_0.9621004_1012.166,Right,18.17759,2_0,66_65
2197,9.279996,1127.646_0.688456_1097.408,Left,8.874007,0_4,61_66
2198,9.279996,886.6816_0.8433979_1174.519,Left,23.08969,0_2,51_65
2199,10.71999,1129.54_0.8651666_1085.559,Left,30.42524,0_0,61_65
2200,12.31999,1127.173_0.8433979_1100.371,Left,23.16936,0_2,61_51
2201,12.63999,760.5212_0.9621004_1012.166,Right,24.77194,2_0,66_65
2202,13.43999,1129.54_0.9621004_1085.559,Left,15.21473,2_0,61_65
2203,14.71999,760.042_1.710887_1015.128,Right,18.58537,1_1,66_61
2204,15.67999,1129.067_0.8651666_1088.521,Left,24.65062,0_0,61_66
2205,15.67999,760.5212_0.9621004_1012.166,Right,26.68743,2_0,66_65
2206,16.47999,758.6046_0.8651666_1024.012,Right,32.72735,0_0,66_51
2207,16.63999,877.7881_0.9621004_1173.138,Left,14.66589,2_0,51_66
2208,17.11999,1127.173_1.710887_1100.371,Left,8.357256,1_1,61_51
2209,20.47999,1127.646_0.8433979_1097.408,Left,13.262,0_2,61_66
2210,20.47999,1129.54_0.9621004_1085.559,Left,15.20098,2_0,61_65
2211,21.27999,758.1254_0.8433979_1026.974,Right,16.74791,0_2,66_51
2212,21.59999,892.6105_0.9621004_1175.439,Left,11.52534,2_0,51_61
2213,21.91998,760.5212_0.8429536_1012.166,Right,22.46375,0_1,66_65
2214,22.87998,1130.014_0.9621004_1082.596,Left,26.87444,2_0,61_65
2215,24.15998,1129.54_1.362484_1085.559,Left,26.57383,1_2,61_65
2216,24.79998,883.7171_0.9621004_1174.058,Left,6.724446,2_0,51_65
2217,24.95998,939.5887_0.9621004_908.5142,Left,21.15842,2_0,65_51
2218,25.59998,877.7881_0.9621004_1173.138,Left,21.10481,2_0,51_66
2219,26.39998,760.042_0.8429536_1015.128,Right,17.9732,0_1,66_61
2220,26.55998,757.6463_0.8429536_1029.935,Right,10.8442,0_1,66_51
2221,27.51998,1127.173_1.710887_1100.371,Left,26.77491,1_1,61_51
2222,27.83998,933.6493_0.8429536_907.6638,Left,26.61319,0_1,65_66
2223,28.79998,939.5887_0.688456_908.5142,Left,10.22482,0_4,65_51
2224,28.79998,880.7526_0.9621004_1173.598,Left,26.29056,2_0,51_65
2225,28.95998,760.5212_0.8429536_1012.166,Right,10.87032,0_1,66_65
2226,29.27998,1128.593_0.8429536_1091.483,Left,19.68493,0_1,61_66
2227,31.67998,948.4979_0.730626_909.7896,Left,25.297,0_3,65_61
2228,33.59998,1130.014_0.730626_1082.596,Left,29.34113,0_3,61_65
2229,34.07998,933.6493_0.8651666_907.6638,Left,13.36739,0_0,65_66
2230,34.39997,760.042_0.730626_1015.128,Right,6.574082,0_3,66_61
2231,34.55997,948.4979_0.688456_909.7896,Left,24.57042,0_4,65_61
2232,35.35997,1127.173_0.9621004_1100.371,Left,19.66482,2_0,61_51
2233,35.67997,939.5887_0.9621004_908.5142,Left,11.48204,2_0,65_51
2234,35.83997,1130.014_0.8433979_1082.596,Left,15.3409,0_2,61_65
2235,35.99997,880.7526_0.9621004_1173.598,Left,11.32018,2_0,51_65
2236,36.31997,877.7881_0.9621004_1173.138,Left,24.92531,2_0,51_66
2237,36.95997,1129.54_0.8433979_1085.559,Left,17.77023,0_2,61_65
2238,38.07997,877.7881_0.8429536_1173.138,Left,7.094698,0_1,51_66
2239,39.35997,1127.173_0.9621004_1100.371,Left,16.71969,2_0,61_51
2240,39.51997,933.6493_0.9621004_907.6638,Left,5.58383,2_0,65_66
2241,40.63997,889.6461_0.688456_1174.979,Left,21.94263,0_4,51_65
2242,42.87997,945.5281_0.730626_909.3644,Left,24.5845,0_3,65_51
2243,43.03997,880.7526_0.8651666_1173.598,Left,18.65835,0_0,51_65
2244,43.35997,1128.12_0.9621004_1094.446,Left,16.84191,2_0,61_66
2245,43.67997,948.4979_0.8651666_909.7896,Left,13.59044,0_0,65_61
2246,43.83997,889.6461_0.730626_1174.979,Left,17.0168,0_3,51_65
2247,44.79996,883.7171_0.8429536_1174.058,Left,29.08982,0_1,51_65
2248,47.03996,1130.014_0.730626_1082.596,Left,11.11243,0_3,61_65
2249,47.83996,760.5212_0.9621004_1012.166,Right,27.72949,2_0,66_65
2250,48.31996,948.4979_0.688456_909.7896,Left,8.4884,0_4,65_61
2251,48.95996,1129.54_0.688456_1085.559,Left,11.78614,0_4,61_65
2252,49.43996,758.6046_0.8429536_1024.012,Right,32.00721,0_1,66_51
2253,51.67996,889.6461_0.688456_1174.979,Left,22.26746,0_4,51_65
2254,54.23996,942.5584_0.730626_908.9393,Left,25.02964,0_3,65_51
2255,54.55996,1128.593_0.8433979_1091.483,Left,26.76256,0_2,61_66
2256,54.87996,1130.014_0.9621004_1082.596,Left,21.77832,2_0,61_65
2257,56.95995,759.5629_0.8429536_1018.089,Right,22.06914,0_1,66_61
2258,57.59995,886.6816_0.8651666_1174.519,Left,32.93406,0_0,51_65
2259,57.75995,1127.173_0.8651666_1100.371,Left,22.34341,0_0,61_51
2260,58.71995,1128.593_0.8433979_1091.483,Left,15.51322,0_2,61_66
2261,59.03995,933.6493_0.9621004_907.6638,Left,26.10254,2_0,65_66
2262,59.67995,936.619_0.9621004_908.089,Left,19.35726,2_0,65_51
2263,60.15995,939.5887_0.8433979_908.5142,Left,11.99863,0_2,65_51
2264,60.63995,877.7881_0.8433979_1173.138,Left,11.10588,0_2,51_66
2265,61.27995,1128.12_1.710887_1094.446,Left,23.79442,1_1,61_66
2266,61.59995,760.042_0.688456_1015.128,Right,27.62374,0_4,66_61
2267,62.07995,759.5629_0.688456_1018.089,Right,28.26249,0_4,66_61
2268,62.55995,758.1254_0.9621004_1026.974,Right,9.01464,2_0,66_51
2269,62.71995,889.6461_0.8433979_1174.979,Left,20.81083,0_2,51_65
2270,63.83995,877.7881_0.9621004_1173.138,Left,22.34939,2_0,51_66
2271,63.83995,880.7526_0.8651666_1173.598,Left,26.3246,0_0,51_65
2272,64.31995,757.6463_0.8433979_1029.935,Right,12.14219,0_2,66_51
2273,64.79996,939.5887_0.688456_908.5142,Left,26.87167,0_4,65_51
