车辆ID,发车时间,发车位置,方向,期望速度,车辆类型名称,路径
7889,1.12,1129.54_0.730626_1085.559,Left,30.14095,0_3,61_65
7890,1.12,758.6046_0.9621004_1024.012,Right,6.034064,2_0,66_51
7891,1.28,945.5281_0.8651666_909.3644,Left,25.92162,0_0,65_51
7892,3.52,757.6463_0.688456_1029.935,Right,22.30149,0_4,66_51
7893,5.759999,1127.173_0.8651666_1100.371,Left,10.18668,0_0,61_51
7894,6.239998,877.7881_0.9621004_1173.138,Left,7.340174,2_0,51_66
7895,6.559998,933.6493_1.710887_907.6638,Left,8.38309,1_1,65_66
7896,6.879998,758.1254_1.362484_1026.974,Right,16.69646,1_2,66_51
7897,7.519997,760.5212_0.8433979_1012.166,Right,32.29454,0_2,66_65
7898,7.839997,880.7526_0.9621004_1173.598,Left,13.57068,2_0,51_65
7899,9.759995,892.6105_0.8651666_1175.439,Left,14.66768,0_0,51_61
7900,10.24,757.6463_0.8433979_1029.935,Right,15.6798,0_2,66_51
7901,10.55999,942.5584_0.8433979_908.9393,Left,32.48352,0_2,65_51
7902,11.35999,758.6046_0.9621004_1024.012,Right,20.50931,2_0,66_51
7903,11.67999,759.0837_0.8429536_1021.051,Right,10.57925,0_1,66_61
7904,11.99999,948.4979_0.730626_909.7896,Left,5.600428,0_3,65_61
7905,12.31999,1128.12_0.8433979_1094.446,Left,21.99734,0_2,61_66
7906,14.55999,759.5629_0.8651666_1018.089,Right,7.532225,0_0,66_61
7907,14.71999,877.7881_1.710887_1173.138,Left,6.590488,1_1,51_66
7908,15.35999,942.5584_0.8651666_908.9393,Left,26.1988,0_0,65_51
7909,15.99999,758.1254_0.8433979_1026.974,Right,19.54839,0_2,66_51
7910,16.15999,1129.54_0.8651666_1085.559,Left,22.19534,0_0,61_65
7911,16.47999,1128.12_0.8433979_1094.446,Left,21.4281,0_2,61_66
7912,17.59999,933.6493_0.9621004_907.6638,Left,10.8515,2_0,65_66
7913,17.59999,892.6105_0.9621004_1175.439,Left,8.809835,2_0,51_61
7914,18.55999,942.5584_0.8433979_908.9393,Left,27.8718,0_2,65_51
7915,19.35999,886.6816_0.8651666_1174.519,Left,19.50688,0_0,51_65
7916,19.99999,948.4979_0.8429536_909.7896,Left,33.12806,0_1,65_61
7917,20.47999,1127.173_0.8429536_1100.371,Left,9.498529,0_1,61_51
7918,20.63999,889.6461_0.8433979_1174.979,Left,19.02522,0_2,51_65
7919,21.75998,933.6493_0.9621004_907.6638,Left,25.13051,2_0,65_66
7920,21.75998,892.6105_0.9621004_1175.439,Left,26.72332,2_0,51_61
7921,22.23998,880.7526_0.8651666_1173.598,Left,13.60242,0_0,51_65
7922,22.71998,883.7171_0.688456_1174.058,Left,6.770976,0_4,51_65
7923,24.47998,892.6105_0.9621004_1175.439,Left,7.014235,2_0,51_61
7924,25.11998,1128.12_0.688456_1094.446,Left,5.938632,0_4,61_66
7925,25.75998,948.4979_0.8433979_909.7896,Left,30.26011,0_2,65_61
7926,26.07998,933.6493_0.8651666_907.6638,Left,33.13302,0_0,65_66
7927,26.07998,877.7881_0.9621004_1173.138,Left,8.519583,2_0,51_66
7928,26.55998,886.6816_0.8429536_1174.519,Left,20.33273,0_1,51_65
7929,27.35998,1128.593_0.730626_1091.483,Left,27.5334,0_3,61_66
7930,29.11998,758.6046_0.9621004_1024.012,Right,26.16593,2_0,66_51
7931,30.87998,948.4979_0.9621004_909.7896,Left,19.27467,2_0,65_61
7932,31.83998,759.0837_0.8433979_1021.051,Right,14.2105,0_2,66_61
7933,32.47998,892.6105_0.730626_1175.439,Left,12.99464,0_3,51_61
7934,33.11998,759.5629_0.8651666_1018.089,Right,7.898601,0_0,66_61
7935,35.99997,948.4979_0.8429536_909.7896,Left,21.36731,0_1,65_61
7936,36.95997,933.6493_0.8429536_907.6638,Left,21.84279,0_1,65_66
7937,37.43997,760.5212_1.362484_1012.166,Right,9.86972,1_2,66_65
7938,37.59997,759.0837_0.8429536_1021.051,Right,24.27778,0_1,66_61
7939,37.59997,758.6046_0.730626_1024.012,Right,21.21083,0_3,66_51
7940,37.91997,892.6105_0.8651666_1175.439,Left,16.57836,0_0,51_61
7941,38.39997,759.5629_0.8651666_1018.089,Right,29.05394,0_0,66_61
7942,38.71997,758.1254_0.688456_1026.974,Right,7.866362,0_4,66_51
7943,40.15997,942.5584_0.8429536_908.9393,Left,6.601149,0_1,65_51
7944,40.31997,948.4979_0.688456_909.7896,Left,6.368561,0_4,65_61
