车辆ID,发车时间,发车位置,方向,期望速度,车辆类型名称,路径
11168,1020.885,892.6105_0.9621004_1175.439,Left,12.06954,2_0,51_61
11169,1022.484,889.6461_0.9621004_1174.979,Left,19.09902,2_0,51_65
11170,1022.964,758.6046_0.688456_1024.012,Right,18.25084,0_4,66_51
11171,1023.924,886.6816_0.9621004_1174.519,Left,19.20135,2_0,51_65
11172,1024.884,1127.173_0.730626_1100.371,Left,24.64351,0_3,61_51
11173,1025.044,1128.593_0.688456_1091.483,Left,18.61523,0_4,61_66
11174,1025.204,936.619_1.362484_908.089,Left,27.34124,1_2,65_51
11175,1025.525,760.5212_0.9621004_1012.166,Right,22.231,2_0,66_65
11176,1026.005,948.4979_0.730626_909.7896,Left,30.03413,0_3,65_61
11177,1026.005,877.7881_0.8429536_1173.138,Left,22.68596,0_1,51_66
11178,1026.805,758.1254_0.688456_1026.974,Right,28.79586,0_4,66_51
11179,1026.805,892.6105_1.710887_1175.439,Left,20.3392,1_1,51_61
11180,1027.605,1127.173_0.8429536_1100.371,Left,29.47297,0_1,61_51
11181,1028.085,933.6493_0.8651666_907.6638,Left,14.17474,0_0,65_66
11182,1028.405,760.5212_0.8433979_1012.166,Right,25.14743,0_2,66_65
11183,1029.205,883.7171_0.9621004_1174.058,Left,26.6741,2_0,51_65
11184,1029.525,759.5629_0.9621004_1018.089,Right,7.886785,2_0,66_61
11185,1030.166,760.042_0.8433979_1015.128,Right,13.91924,0_2,66_61
11186,1030.646,933.6493_0.9621004_907.6638,Left,27.77633,2_0,65_66
11187,1030.646,948.4979_0.9621004_909.7896,Left,19.22429,2_0,65_61
11188,1030.966,942.5584_0.9621004_908.9393,Left,13.01965,2_0,65_51
11189,1031.286,760.5212_0.9621004_1012.166,Right,7.823265,2_0,66_65
11190,1031.606,758.1254_0.8429536_1026.974,Right,18.88179,0_1,66_51
11191,1031.926,759.0837_1.362484_1021.051,Right,8.022389,1_2,66_61
11192,1032.566,1127.173_0.9621004_1100.371,Left,27.04688,2_0,61_51
11193,1033.686,1129.54_0.730626_1085.559,Left,14.9226,0_3,61_65
11194,1034.646,948.4979_0.9621004_909.7896,Left,7.345352,2_0,65_61
11195,1035.287,939.5887_1.362484_908.5142,Left,5.612001,1_2,65_51
11196,1036.087,1130.014_0.8429536_1082.596,Left,20.39109,0_1,61_65
11197,1036.087,892.6105_0.8429536_1175.439,Left,8.74479,0_1,51_61
11198,1037.207,889.6461_0.8429536_1174.979,Left,24.42972,0_1,51_65
11199,1038.167,877.7881_0.8433979_1173.138,Left,23.98329,0_2,51_66
11200,1039.287,1127.173_0.688456_1100.371,Left,30.28126,0_4,61_51
11201,1039.768,877.7881_0.9621004_1173.138,Left,23.13214,2_0,51_66
11202,1040.408,758.6046_0.9621004_1024.012,Right,15.12417,2_0,66_51
11203,1040.568,758.1254_0.9621004_1026.974,Right,10.45904,2_0,66_51
11204,1041.048,1129.54_0.688456_1085.559,Left,10.52891,0_4,61_65
11205,1041.528,880.7526_0.730626_1173.598,Left,28.74964,0_3,51_65
11206,1042.968,933.6493_0.8429536_907.6638,Left,32.14268,0_1,65_66
11207,1043.288,760.5212_0.9621004_1012.166,Right,14.7052,2_0,66_65
11208,1043.608,1128.593_0.8433979_1091.483,Left,21.16363,0_2,61_66
11209,1044.249,936.619_1.362484_908.089,Left,6.69337,1_2,65_51
11210,1044.249,758.1254_0.9621004_1026.974,Right,11.05122,2_0,66_51
11211,1044.569,1127.646_0.8433979_1097.408,Left,23.09354,0_2,61_66
11212,1045.049,939.5887_0.730626_908.5142,Left,27.41503,0_3,65_51
11213,1045.049,877.7881_0.9621004_1173.138,Left,26.15445,2_0,51_66
11214,1045.209,759.0837_1.710887_1021.051,Right,25.86418,1_1,66_61
11215,1046.489,1130.014_0.688456_1082.596,Left,14.85299,0_4,61_65
11216,1046.489,948.4979_0.8433979_909.7896,Left,24.16429,0_2,65_61
11217,1047.289,883.7171_0.730626_1174.058,Left,13.22397,0_3,51_65
11218,1049.53,939.5887_0.8651666_908.5142,Left,14.99536,0_0,65_51
11219,1050.65,1127.646_0.9621004_1097.408,Left,9.559106,2_0,61_66
11220,1051.45,758.6046_0.9621004_1024.012,Right,6.194322,2_0,66_51
11221,1051.61,883.7171_0.8433979_1174.058,Left,19.40539,0_2,51_65
11222,1051.77,892.6105_0.730626_1175.439,Left,27.61999,0_3,51_61
11223,1052.09,758.1254_0.8651666_1026.974,Right,27.20484,0_0,66_51
11224,1052.73,945.5281_0.8429536_909.3644,Left,25.65912,0_1,65_51
11225,1053.21,1128.12_0.8433979_1094.446,Left,19.53651,0_2,61_66
11226,1053.531,1130.014_0.8429536_1082.596,Left,17.08322,0_1,61_65
11227,1053.691,1127.173_0.730626_1100.371,Left,29.93441,0_3,61_51
11228,1054.971,1127.646_0.730626_1097.408,Left,8.021728,0_3,61_66
11229,1055.611,883.7171_0.688456_1174.058,Left,18.38249,0_4,51_65
11230,1056.251,760.5212_0.9621004_1012.166,Right,10.36357,2_0,66_65
11231,1056.891,877.7881_0.8651666_1173.138,Left,20.74316,0_0,51_66
11232,1057.531,948.4979_0.9621004_909.7896,Left,9.627228,2_0,65_61
11233,1057.531,892.6105_0.9621004_1175.439,Left,26.59525,2_0,51_61
11234,1061.212,942.5584_0.8433979_908.9393,Left,27.04716,0_2,65_51
11235,1061.852,877.7881_0.8429536_1173.138,Left,16.43302,0_1,51_66
11236,1062.012,936.619_0.8433979_908.089,Left,30.89864,0_2,65_51
11237,1062.172,933.6493_0.730626_907.6638,Left,14.45756,0_3,65_66
11238,1062.332,757.6463_0.8429536_1029.935,Right,31.33117,0_1,66_51
11239,1062.332,880.7526_0.8651666_1173.598,Left,20.0294,0_0,51_65
11240,1062.492,758.6046_0.8651666_1024.012,Right,23.85702,0_0,66_51
11241,1062.652,1129.54_0.8429536_1085.559,Left,18.83754,0_1,61_65
11242,1062.973,945.5281_0.8651666_909.3644,Left,9.648204,0_0,65_51
11243,1062.973,892.6105_0.9621004_1175.439,Left,14.73555,2_0,51_61
11244,1064.093,948.4979_0.730626_909.7896,Left,8.212564,0_3,65_61
11245,1065.053,1130.014_0.8433979_1082.596,Left,19.81266,0_2,61_65
