车辆ID,发车时间,发车位置,方向,期望速度,车辆类型名称,路径
551,0.26,942.5584_0.8651666_908.9393,Left,13.79816,0_0,65_51
552,1.14,948.4979_0.8429536_909.7896,Left,22.32945,0_1,65_61
553,1.419999,933.6493_0.9621004_907.6638,Left,8.534689,2_0,65_66
554,1.599999,1127.173_0.8433979_1100.371,Left,21.98428,0_2,61_51
555,1.619999,1128.12_0.8429536_1094.446,Left,14.75707,0_1,61_66
556,2.419998,760.5212_0.9621004_1012.166,Right,26.71667,2_0,66_65
557,3.239998,948.4979_1.710887_909.7896,Left,7.407058,1_1,65_61
558,3.239998,883.7171_0.730626_1174.058,Left,12.37576,0_3,51_65
559,3.319998,936.619_0.8433979_908.089,Left,19.27631,0_2,65_51
560,3.919997,758.6046_0.9621004_1024.012,Right,16.26163,2_0,66_51
561,4.019997,759.5629_0.8433979_1018.089,Right,9.438269,0_2,66_61
562,4.299997,877.7881_0.730626_1173.138,Left,28.37804,0_3,51_66
563,4.959996,942.5584_0.9621004_908.9393,Left,21.95452,2_0,65_51
564,5.299996,936.619_0.688456_908.089,Left,15.15994,0_4,65_51
565,5.439996,939.5887_0.688456_908.5142,Left,10.93723,0_4,65_51
566,5.859995,1127.173_0.9621004_1100.371,Left,9.114389,2_0,61_51
567,6.159995,1128.12_0.688456_1094.446,Left,18.81836,0_4,61_66
568,6.419995,760.042_1.362484_1015.128,Right,25.70822,1_2,66_61
569,6.519995,1129.54_0.9621004_1085.559,Left,7.281157,2_0,61_65
570,6.839994,892.6105_1.710887_1175.439,Left,20.52034,1_1,51_61
571,6.959994,933.6493_0.730626_907.6638,Left,6.360846,0_3,65_66
572,7.739994,886.6816_0.9621004_1174.519,Left,19.11651,2_0,51_65
573,7.799994,760.5212_1.710887_1012.166,Right,19.77667,1_1,66_65
574,8.019994,880.7526_1.710887_1173.598,Left,27.27417,1_1,51_65
575,8.660008,877.7881_0.9621004_1173.138,Left,21.19841,2_0,51_66
576,8.780011,1129.067_0.9621004_1088.521,Left,7.787371,2_0,61_66
577,9.780034,883.7171_1.710887_1174.058,Left,11.06336,1_1,51_65
578,10.10004,886.6816_0.688456_1174.519,Left,32.41056,0_4,51_65
579,10.22004,939.5887_0.9621004_908.5142,Left,14.24641,2_0,65_51
580,10.50005,759.5629_0.688456_1018.089,Right,21.16479,0_4,66_61
581,11.48007,1127.173_0.8433979_1100.371,Left,9.460937,0_2,61_51
582,11.54007,942.5584_0.9621004_908.9393,Left,24.12001,2_0,65_51
583,11.72008,758.6046_0.730626_1024.012,Right,5.798655,0_3,66_51
584,11.94008,948.4979_1.710887_909.7896,Left,14.03745,1_1,65_61
585,12.08009,933.6493_0.9621004_907.6638,Left,17.9657,2_0,65_66
586,12.10009,877.7881_1.362484_1173.138,Left,22.22932,1_2,51_66
587,12.16009,886.6816_0.9621004_1174.519,Left,10.57656,2_0,51_65
588,12.4601,889.6461_0.9621004_1174.979,Left,18.45926,2_0,51_65
589,13.06011,759.5629_0.9621004_1018.089,Right,19.93211,2_0,66_61
590,13.16011,892.6105_0.730626_1175.439,Left,8.620709,0_3,51_61
591,13.56012,892.6105_1.710887_1175.439,Left,10.07356,1_1,51_61
592,13.78013,1129.54_0.8651666_1085.559,Left,31.85621,0_0,61_65
593,14.30014,942.5584_0.8433979_908.9393,Left,16.4341,0_2,65_51
594,14.32014,886.6816_1.710887_1174.519,Left,22.08679,1_1,51_65
595,14.52014,1130.014_0.8651666_1082.596,Left,17.05137,0_0,61_65
596,14.56014,1127.646_0.9621004_1097.408,Left,25.82443,2_0,61_66
597,14.84015,933.6493_0.8433979_907.6638,Left,13.62624,0_2,65_66
598,15.88017,760.5212_1.710887_1012.166,Right,24.26233,1_1,66_65
599,16.34018,933.6493_1.710887_907.6638,Left,10.99622,1_1,65_66
